uid,Produktbereich,Produktbereich Langfassung,Produktgruppe,Produktteilhaushalt,Produktteilhaushalt Langfassung,VwV-ID,VwV-Doppik Langfassung,amount,time,direction
2120010514,21,"Schultraegeraufgaben",2120,21200105,"Schulkindergarten für Sprachbehinderte",10,"Personalaufwendungen",1715,2012,Aufwendung
2120010515,21,"Schultraegeraufgaben",2120,21200105,"Schulkindergarten für Sprachbehinderte",12,"Aufw. für Sach-/Dienstleistungen",21941,2012,Aufwendung
2120010516,21,"Schultraegeraufgaben",2120,21200105,"Schulkindergarten für Sprachbehinderte",13,"Bilanzielle Abschreibungen",113,2012,Aufwendung
2120010517,21,"Schultraegeraufgaben",2120,21200105,"Schulkindergarten für Sprachbehinderte",16,"Sonstige ordentliche Aufwendungen",1566,2012,Aufwendung
2120010518,21,"Schultraegeraufgaben",2120,21200105,"Schulkindergarten für Sprachbehinderte",18,"interne Leistungen",3452,2012,Aufwendung
2120010519,21,"Schultraegeraufgaben",2120,21200105,"Schulkindergarten für Sprachbehinderte",19,"Kalkulatorische Kosten",104,2012,Aufwendung
2120010620,21,"Schultraegeraufgaben",2120,21200106,"Schulkindergarten für Körperbehinderte",02,"Zuwendungen und allgemeine Umlagen",1752,2012,Ertrag
2120010621,21,"Schultraegeraufgaben",2120,21200106,"Schulkindergarten für Körperbehinderte",05,"Privatrechtliche Leistungsentgelte",8524,2012,Ertrag
2120010622,21,"Schultraegeraufgaben",2120,21200106,"Schulkindergarten für Körperbehinderte",06,"Kostenerstattungen und Kostenumlagen",50021,2012,Ertrag
2120010623,21,"Schultraegeraufgaben",2120,21200106,"Schulkindergarten für Körperbehinderte",10,"Personalaufwendungen",198451,2012,Aufwendung
2120010624,21,"Schultraegeraufgaben",2120,21200106,"Schulkindergarten für Körperbehinderte",11,"Versorgungsaufwendungen",0,2012,Aufwendung
2120010625,21,"Schultraegeraufgaben",2120,21200106,"Schulkindergarten für Körperbehinderte",12,"Aufw. für Sach-/Dienstleistungen",35566,2012,Aufwendung
2120010626,21,"Schultraegeraufgaben",2120,21200106,"Schulkindergarten für Körperbehinderte",13,"Bilanzielle Abschreibungen",10919,2012,Aufwendung
2120010627,21,"Schultraegeraufgaben",2120,21200106,"Schulkindergarten für Körperbehinderte",16,"Sonstige ordentliche Aufwendungen",2797,2012,Aufwendung
2120010628,21,"Schultraegeraufgaben",2120,21200106,"Schulkindergarten für Körperbehinderte",18,"interne Leistungen",32017,2012,Aufwendung
2120010629,21,"Schultraegeraufgaben",2120,21200106,"Schulkindergarten für Körperbehinderte",19,"Kalkulatorische Kosten",3906,2012,Aufwendung
2120010730,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",02,"Zuwendungen und allgemeine Umlagen",46,2012,Ertrag
2120010731,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",04,"Öffentl.-rechtl. Leistungsentgelte",33,2012,Ertrag
2120010732,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",05,"Privatrechtliche Leistungsentgelte",6067,2012,Ertrag
2120010733,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",06,"Kostenerstattungen und Kostenumlagen",6,2012,Ertrag
2120010734,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",10,"Personalaufwendungen",9735,2012,Aufwendung
2120010735,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",11,"Versorgungsaufwendungen",0,2012,Aufwendung
2120010736,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",12,"Aufw. für Sach-/Dienstleistungen",16507,2012,Aufwendung
2120010737,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",13,"Bilanzielle Abschreibungen",6,2012,Aufwendung
2120010738,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",16,"Sonstige ordentliche Aufwendungen",1210,2012,Aufwendung
2120010739,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",18,"interne Leistungen",4963,2012,Aufwendung
2120010740,21,"Schultraegeraufgaben",2120,21200107,"Schulkindergarten für Erziehungshilfe",19,"Kalkulatorische Kosten",2,2012,Aufwendung
2120030141,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",02,"Zuwendungen und allgemeine Umlagen",680304,2012,Ertrag
2120030142,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",05,"Privatrechtliche Leistungsentgelte",42238,2012,Ertrag
2120030143,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",06,"Kostenerstattungen und Kostenumlagen",172441,2012,Ertrag
2120030144,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",09,"Sonstige ordentliche Erträge",0,2012,Ertrag
2120030145,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",10,"Personalaufwendungen",243901,2012,Aufwendung
2120030146,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",11,"Versorgungsaufwendungen",0,2012,Aufwendung
2120030147,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",12,"Aufw. für Sach-/Dienstleistungen",97364,2012,Aufwendung
2120030148,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",13,"Bilanzielle Abschreibungen",6238,2012,Aufwendung
2120030149,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",16,"Sonstige ordentliche Aufwendungen",7347,2012,Aufwendung
2120030150,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",18,"interne Leistungen",741833,2012,Aufwendung
2120030151,21,"Schultraegeraufgaben",2120,21200301,"Sonderschule für Geistigbehinderte",19,"Kalkulatorische Kosten",3311,2012,Aufwendung
2120030452,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",02,"Zuwendungen und allgemeine Umlagen",205274,2012,Ertrag
2120030453,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",04,"Öffentl.-rechtl. Leistungsentgelte",83,2012,Ertrag
2120030454,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",05,"Privatrechtliche Leistungsentgelte",27084,2012,Ertrag
2120030455,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",06,"Kostenerstattungen und Kostenumlagen",48370,2012,Ertrag
2120030456,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",09,"Sonstige ordentliche Erträge",0,2012,Ertrag
2120030457,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",10,"Personalaufwendungen",34411,2012,Aufwendung
2120030458,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",11,"Versorgungsaufwendungen",0,2012,Aufwendung
2120030459,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",12,"Aufw. für Sach-/Dienstleistungen",78626,2012,Aufwendung
2120030460,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",13,"Bilanzielle Abschreibungen",6234,2012,Aufwendung
2120030461,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",16,"Sonstige ordentliche Aufwendungen",5580,2012,Aufwendung
2120030462,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",18,"interne Leistungen",250650,2012,Aufwendung
2120030463,21,"Schultraegeraufgaben",2120,21200304,"Sonderschule für Sprachbehinderte",19,"Kalkulatorische Kosten",1710,2012,Aufwendung
2120030564,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",02,"Zuwendungen und allgemeine Umlagen",865334,2012,Ertrag
2120030565,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",04,"Öffentl.-rechtl. Leistungsentgelte",0,2012,Ertrag
2120030566,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",05,"Privatrechtliche Leistungsentgelte",61039,2012,Ertrag
2120030567,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",06,"Kostenerstattungen und Kostenumlagen",499746,2012,Ertrag
2120030568,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",10,"Personalaufwendungen",733891,2012,Aufwendung
2120030569,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",11,"Versorgungsaufwendungen",0,2012,Aufwendung
2120030570,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",12,"Aufw. für Sach-/Dienstleistungen",155685,2012,Aufwendung
2120030571,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",13,"Bilanzielle Abschreibungen",18042,2012,Aufwendung
2120030572,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",16,"Sonstige ordentliche Aufwendungen",10682,2012,Aufwendung
2120030573,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",18,"interne Leistungen",1249674,2012,Aufwendung
2120030574,21,"Schultraegeraufgaben",2120,21200305,"Sonderschule für Körperbehinderte",19,"Kalkulatorische Kosten",4012,2012,Aufwendung
2120030675,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",02,"Zuwendungen und allgemeine Umlagen",104076,2012,Ertrag
2120030676,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",04,"Öffentl.-rechtl. Leistungsentgelte",67,2012,Ertrag
2120030677,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",05,"Privatrechtliche Leistungsentgelte",12133,2012,Ertrag
2120030678,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",06,"Kostenerstattungen und Kostenumlagen",10,2012,Ertrag
2120030679,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",10,"Personalaufwendungen",19225,2012,Aufwendung
2120030680,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",11,"Versorgungsaufwendungen",0,2012,Aufwendung
2120030681,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",12,"Aufw. für Sach-/Dienstleistungen",32185,2012,Aufwendung
2120030682,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",13,"Bilanzielle Abschreibungen",2309,2012,Aufwendung
2120030683,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",16,"Sonstige ordentliche Aufwendungen",2107,2012,Aufwendung
2120030684,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",18,"interne Leistungen",148110,2012,Aufwendung
2120030685,21,"Schultraegeraufgaben",2120,21200306,"Sonderschule für Erziehungshilfe",19,"Kalkulatorische Kosten",703,2012,Aufwendung
2120030786,21,"Schultraegeraufgaben",2120,21200307,"Sonderschule für Kranke",02,"Zuwendungen und allgemeine Umlagen",42076,2012,Ertrag
2120030787,21,"Schultraegeraufgaben",2120,21200307,"Sonderschule für Kranke",06,"Kostenerstattungen und Kostenumlagen",10,2012,Ertrag
2120030788,21,"Schultraegeraufgaben",2120,21200307,"Sonderschule für Kranke",10,"Personalaufwendungen",22225,2012,Aufwendung
2120030789,21,"Schultraegeraufgaben",2120,21200307,"Sonderschule für Kranke",11,"Versorgungsaufwendungen",0,2012,Aufwendung
2120030790,21,"Schultraegeraufgaben",2120,21200307,"Sonderschule für Kranke",12,"Aufw. für Sach-/Dienstleistungen",19445,2012,Aufwendung
2120030791,21,"Schultraegeraufgaben",2120,21200307,"Sonderschule für Kranke",13,"Bilanzielle Abschreibungen",4709,2012,Aufwendung
2120030792,21,"Schultraegeraufgaben",2120,21200307,"Sonderschule für Kranke",16,"Sonstige ordentliche Aufwendungen",3899,2012,Aufwendung
2120030793,21,"Schultraegeraufgaben",2120,21200307,"Sonderschule für Kranke",18,"interne Leistungen",59248,2012,Aufwendung
2120030794,21,"Schultraegeraufgaben",2120,21200307,"Sonderschule für Kranke",19,"Kalkulatorische Kosten",1503,2012,Aufwendung
1110-10095,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",02,"Zuwendungen und allgemeine Umlagen",0,2012,Ertrag
1110-10096,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",05,"Privatrechtliche Leistungsentgelte",24500,2012,Ertrag
1110-10097,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",06,"Kostenerstattungen und Kostenumlagen",17550,2012,Ertrag
1110-10098,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",09,"Sonstige ordentliche Erträge",0,2012,Ertrag
1110-10099,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",10,"Personalaufwendungen",390750,2012,Aufwendung
1110-100100,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",11,"Versorgungsaufwendungen",0,2012,Aufwendung
1110-100101,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",12,"Aufw. für Sach-/Dienstleistungen",31111,2012,Aufwendung
1110-100102,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",13,"Bilanzielle Abschreibungen",4675,2012,Aufwendung
1110-100103,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",16,"Sonstige ordentliche Aufwendungen",940765,2012,Aufwendung
1110-100104,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",18,"interne Leistungen",1286514,2012,Ertrag
1110-100104,11,"Innere Verwaltung",1110,1110100,"Gemeindeorgane",19,"Kalkulatorische Kosten",1825,2012,Aufwendung
1110-200105,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",05,"Privatrechtliche Leistungsentgelte",0,2012,Ertrag
1110-200106,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",06,"Kostenerstattungen und Kostenumlagen",73800,2012,Ertrag
1110-200107,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",09,"Sonstige ordentliche Erträge",300,2012,Ertrag
1110-200108,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",10,"Personalaufwendungen",316600,2012,Aufwendung
1110-200109,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",11,"Versorgungsaufwendungen",0,2012,Aufwendung
1110-200110,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",12,"Aufw. für Sach-/Dienstleistungen",45318,2012,Aufwendung
1110-200111,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",13,"Bilanzielle Abschreibungen",2500,2012,Aufwendung
1110-200112,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",15,"Transferaufwendungen",120000,2012,Aufwendung
1110-200113,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",16,"Sonstige ordentliche Aufwendungen",29986,2012,Aufwendung
1110-200114,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",18,"interne Leistungen",237382,2012,Ertrag
1110-200114,11,"Innere Verwaltung",1110,1110200,"Leitung Zentrale Steuerung",19,"Kalkulatorische Kosten",8100,2012,Aufwendung
1110-500115,11,"Innere Verwaltung",1110,1110500,"Leitung Fachbereich Kultur",10,"Personalaufwendungen",24000,2012,Aufwendung
1110-500116,11,"Innere Verwaltung",1110,1110500,"Leitung Fachbereich Kultur",11,"Versorgungsaufwendungen",0,2012,Aufwendung
1110-500117,11,"Innere Verwaltung",1110,1110500,"Leitung Fachbereich Kultur",12,"Aufw. für Sach-/Dienstleistungen",0,2012,Aufwendung
1110-500118,11,"Innere Verwaltung",1110,1110500,"Leitung Fachbereich Kultur",13,"Bilanzielle Abschreibungen",0,2012,Aufwendung
1110-500119,11,"Innere Verwaltung",1110,1110500,"Leitung Fachbereich Kultur",16,"Sonstige ordentliche Aufwendungen",21,2012,Aufwendung
1110-500120,11,"Innere Verwaltung",1110,1110500,"Leitung Fachbereich Kultur",18,"interne Leistungen",24021,2012,Ertrag
1110-500120,11,"Innere Verwaltung",1110,1110500,"Leitung Fachbereich Kultur",19,"Kalkulatorische Kosten",0,2012,Aufwendung
1110-600121,11,"Innere Verwaltung",1110,1110600,"Leitung Fachbereich Bildung und Soziales",05,"Privatrechtliche Leistungsentgelte",0,2012,Ertrag
1110-600122,11,"Innere Verwaltung",1110,1110600,"Leitung Fachbereich Bildung und Soziales",06,"Kostenerstattungen und Kostenumlagen",0,2012,Ertrag
1110-600123,11,"Innere Verwaltung",1110,1110600,"Leitung Fachbereich Bildung und Soziales",10,"Personalaufwendungen",32000,2012,Aufwendung
1110-600124,11,"Innere Verwaltung",1110,1110600,"Leitung Fachbereich Bildung und Soziales",11,"Versorgungsaufwendungen",0,2012,Aufwendung
1110-600125,11,"Innere Verwaltung",1110,1110600,"Leitung Fachbereich Bildung und Soziales",12,"Aufw. für Sach-/Dienstleistungen",0,2012,Aufwendung
1110-600126,11,"Innere Verwaltung",1110,1110600,"Leitung Fachbereich Bildung und Soziales",13,"Bilanzielle Abschreibungen",0,2012,Aufwendung
1110-600127,11,"Innere Verwaltung",1110,1110600,"Leitung Fachbereich Bildung und Soziales",16,"Sonstige ordentliche Aufwendungen",23,2012,Aufwendung
1110-600128,11,"Innere Verwaltung",1110,1110600,"Leitung Fachbereich Bildung und Soziales",18,"interne Leistungen",32023,2012,Ertrag
1110-600128,11,"Innere Verwaltung",1110,1110600,"Leitung Fachbereich Bildung und Soziales",19,"Kalkulatorische Kosten",0,2012,Aufwendung
1110-700129,11,"Innere Verwaltung",1110,1110700,"Leitung FB Stadtentwickl., Bau u. Umwelt",05,"Privatrechtliche Leistungsentgelte",0,2012,Ertrag
1110-700130,11,"Innere Verwaltung",1110,1110700,"Leitung FB Stadtentwickl., Bau u. Umwelt",06,"Kostenerstattungen und Kostenumlagen",0,2012,Ertrag
1110-700131,11,"Innere Verwaltung",1110,1110700,"Leitung FB Stadtentwickl., Bau u. Umwelt",10,"Personalaufwendungen",62000,2012,Aufwendung
1110-700132,11,"Innere Verwaltung",1110,1110700,"Leitung FB Stadtentwickl., Bau u. Umwelt",11,"Versorgungsaufwendungen",0,2012,Aufwendung
1110-700133,11,"Innere Verwaltung",1110,1110700,"Leitung FB Stadtentwickl., Bau u. Umwelt",12,"Aufw. für Sach-/Dienstleistungen",16000,2012,Aufwendung
1110-700134,11,"Innere Verwaltung",1110,1110700,"Leitung FB Stadtentwickl., Bau u. Umwelt",13,"Bilanzielle Abschreibungen",0,2012,Aufwendung
1110-700135,11,"Innere Verwaltung",1110,1110700,"Leitung FB Stadtentwickl., Bau u. Umwelt",15,"Transferaufwendungen",0,2012,Aufwendung
1110-700136,11,"Innere Verwaltung",1110,1110700,"Leitung FB Stadtentwickl., Bau u. Umwelt",16,"Sonstige ordentliche Aufwendungen",42,2012,Aufwendung
1110-700137,11,"Innere Verwaltung",1110,1110700,"Leitung FB Stadtentwickl., Bau u. Umwelt",18,"interne Leistungen",62042,2012,Ertrag
1110-700137,11,"Innere Verwaltung",1110,1110700,"Leitung FB Stadtentwickl., Bau u. Umwelt",19,"Kalkulatorische Kosten",0,2012,Aufwendung
1111-110138,11,"Innere Verwaltung",1111,1111110,"Geschäftsstelle des Gemeinderats",02,"Zuwendungen und allgemeine Umlagen",0,2012,Ertrag
1111-110139,11,"Innere Verwaltung",1111,1111110,"Geschäftsstelle des Gemeinderats",05,"Privatrechtliche Leistungsentgelte",180,2012,Ertrag
1111-110140,11,"Innere Verwaltung",1111,1111110,"Geschäftsstelle des Gemeinderats",06,"Kostenerstattungen und Kostenumlagen",28102,2012,Ertrag
1111-110141,11,"Innere Verwaltung",1111,1111110,"Geschäftsstelle des Gemeinderats",10,"Personalaufwendungen",389270,2012,Aufwendung
1111-110142,11,"Innere Verwaltung",1111,1111110,"Geschäftsstelle des Gemeinderats",11,"Versorgungsaufwendungen",0,2012,Aufwendung
1111-110143,11,"Innere Verwaltung",1111,1111110,"Geschäftsstelle des Gemeinderats",12,"Aufw. für Sach-/Dienstleistungen",10457,2012,Aufwendung
1111-110144,11,"Innere Verwaltung",1111,1111110,"Geschäftsstelle des Gemeinderats",13,"Bilanzielle Abschreibungen",39359,2012,Aufwendung
1111-110145,11,"Innere Verwaltung",1111,1111110,"Geschäftsstelle des Gemeinderats",16,"Sonstige ordentliche Aufwendungen",59085,2012,Aufwendung
1111-110146,11,"Innere Verwaltung",1111,1111110,"Geschäftsstelle des Gemeinderats",18,"interne Leistungen",472945,2012,Ertrag
1111-110146,11,"Innere Verwaltung",1111,1111110,"Geschäftsstelle des Gemeinderats",19,"Kalkulatorische Kosten",3057,2012,Aufwendung
1112-210147,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",04,"Öffentl.-rechtl. Leistungsentgelte",400000,2012,Ertrag
1112-210148,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",05,"Privatrechtliche Leistungsentgelte",0,2012,Ertrag
1112-210149,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",06,"Kostenerstattungen und Kostenumlagen",75400,2012,Ertrag
1112-210150,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",10,"Personalaufwendungen",986750,2012,Aufwendung
1112-210151,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",11,"Versorgungsaufwendungen",0,2012,Aufwendung
1112-210152,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",12,"Aufw. für Sach-/Dienstleistungen",21200,2012,Aufwendung
1112-210153,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",13,"Bilanzielle Abschreibungen",2625,2012,Aufwendung
1112-210154,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",15,"Transferaufwendungen",28000,2012,Aufwendung
1112-210155,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",16,"Sonstige ordentliche Aufwendungen",156001,2012,Aufwendung
1112-210156,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",18,"interne Leistungen",719702,2012,Ertrag
1112-210156,11,"Innere Verwaltung",1112,1112210,"Finanzen und Beteiligungsverwaltung",19,"Kalkulatorische Kosten",525,2012,Aufwendung
1112-220157,11,"Innere Verwaltung",1112,1112220,"Zentrale Steuerung Personal",05,"Privatrechtliche Leistungsentgelte",0,2012,Ertrag
1112-220158,11,"Innere Verwaltung",1112,1112220,"Zentrale Steuerung Personal",06,"Kostenerstattungen und Kostenumlagen",7000,2012,Ertrag
1112-220159,11,"Innere Verwaltung",1112,1112220,"Zentrale Steuerung Personal",10,"Personalaufwendungen",337000,2012,Aufwendung
1112-220160,11,"Innere Verwaltung",1112,1112220,"Zentrale Steuerung Personal",11,"Versorgungsaufwendungen",0,2012,Aufwendung
1112-220161,11,"Innere Verwaltung",1112,1112220,"Zentrale Steuerung Personal",12,"Aufw. für Sach-/Dienstleistungen",15394,2012,Aufwendung
1112-220162,11,"Innere Verwaltung",1112,1112220,"Zentrale Steuerung Personal",13,"Bilanzielle Abschreibungen",1700,2012,Aufwendung
1112-220163,11,"Innere Verwaltung",1112,1112220,"Zentrale Steuerung Personal",16,"Sonstige ordentliche Aufwendungen",25195,2012,Aufwendung
1112-220164,11,"Innere Verwaltung",1112,1112220,"Zentrale Steuerung Personal",18,"interne Leistungen",377089,2012,Ertrag
1112-220164,11,"Innere Verwaltung",1112,1112220,"Zentrale Steuerung Personal",19,"Kalkulatorische Kosten",4800,2012,Aufwendung
1112-230165,11,"Innere Verwaltung",1112,1112230,"Stabstelle Organisationsentwicklung",02,"Zuwendungen und allgemeine Umlagen",0,2012,Ertrag
1112-230166,11,"Innere Verwaltung",1112,1112230,"Stabstelle Organisationsentwicklung",10,"Personalaufwendungen",191000,2012,Aufwendung
1112-230167,11,"Innere Verwaltung",1112,1112230,"Stabstelle Organisationsentwicklung",12,"Aufw. für Sach-/Dienstleistungen",6958,2012,Aufwendung
1112-230168,11,"Innere Verwaltung",1112,1112230,"Stabstelle Organisationsentwicklung",13,"Bilanzielle Abschreibungen",1200,2012,Aufwendung
1112-230169,11,"Innere Verwaltung",1112,1112230,"Stabstelle Organisationsentwicklung",16,"Sonstige ordentliche Aufwendungen",19743,2012,Aufwendung
1112-230170,11,"Innere Verwaltung",1112,1112230,"Stabstelle Organisationsentwicklung",18,"interne Leistungen",219102,2012,Ertrag
1112-230170,11,"Innere Verwaltung",1112,1112230,"Stabstelle Organisationsentwicklung",19,"Kalkulatorische Kosten",200,2012,Aufwendung
1112-240171,11,"Innere Verwaltung",1112,1112240,"EDV-Steuerung",02,"Zuwendungen und allgemeine Umlagen",10000,2012,Ertrag
1112-240172,11,"Innere Verwaltung",1112,1112240,"EDV-Steuerung",05,"Privatrechtliche Leistungsentgelte",0,2012,Ertrag
1112-240173,11,"Innere Verwaltung",1112,1112240,"EDV-Steuerung",06,"Kostenerstattungen und Kostenumlagen",0,2012,Ertrag
1112-240174,11,"Innere Verwaltung",1112,1112240,"EDV-Steuerung",10,"Personalaufwendungen",374490,2012,Aufwendung
